method,space,clone,w2_raw_mean,w2_raw_std,w2_scaled_mean,n_runs,clone_size_src,clone_size_tgt,clone_size_d6,dominant_fate,multipotency,pseudotime_spread,clone_size_d4,initial_var_dm,initial_var_pc
DeepRUOT,pc30,Clone_401,8.299389407339776,0.4097065285414976,8.299389407339776,4,2,21,21,undiff,0,0.009449906913408267,2,0.2927615511143181,6.016866547846647
DeepRUOT,pc30,Clone_405,15.760778344777108,0.5966628305573298,15.760778344777108,4,18,24,24,Monocyte,2,0.05375761713677556,18,4.660732777437484,15.991837219935185
DeepRUOT,pc30,Clone_4205,17.877439371938056,0.5859292749348496,17.877439371938056,4,5,16,16,Baso,1,0.03581221833879433,5,5.6779224662861845,30.622954423981827
DeepRUOT,pc30,Clone_4226,6.048575667883344,0.0751695035475011,6.048575667883344,4,11,42,42,Monocyte,1,0.012150251433044212,11,0.20838978733154445,6.251213172478858
DeepRUOT,pc30,Clone_4276,14.403213631466418,0.12853978097345317,14.403213631466418,4,2,23,23,Baso,2,0.1934655599160797,2,0.012509268371559253,3.7765158688102494
DeepRUOT,pc30,Clone_4316,13.103439992945962,0.4288079087027702,13.103439992945962,4,11,9,9,Monocyte,2,0.04837580077314802,11,29.02447788355479,22.038395207847277
DeepRUOT,pc30,Clone_4456,12.172487432449497,0.6518412548382241,12.172487432449497,4,4,16,16,Monocyte,1,0.036943296178177924,4,0.13814141869561275,7.263852993390859
DeepRUOT,pc30,Clone_4483,11.63744080229655,0.3657231337536254,11.63744080229655,4,4,20,20,Neutrophil,2,0.1602617435581773,4,0.03898512500450519,4.865352645256264
DeepRUOT,pc30,Clone_449,12.883526292915056,0.6806274945698784,12.883526292915056,4,3,27,27,Monocyte,1,0.06868739538943391,3,0.27409014173352764,5.2429907844997965
DeepRUOT,pc30,Clone_4571,11.11499578922332,0.3773691375204627,11.11499578922332,4,4,27,27,Baso,2,0.1357723332643678,4,0.25609418945890317,7.061109485182975
DeepRUOT,pc30,Clone_4604,15.148384059228924,0.6201905962565846,15.148384059228924,4,4,25,25,Monocyte,2,0.05356076429417436,4,0.044939384982890546,3.0536306497695627
DeepRUOT,pc30,Clone_4665,15.29635988368531,0.7237285537107762,15.29635988368531,4,3,19,19,Neutrophil,3,0.14966562616430215,3,0.17695997318332657,9.240128549697486
