GENE NAMES,,,,,,,,,,,,,,,,,,,,,,,,
App,Pitpnc1,Srgn,Klf9,Chst2,,Rnasel,,,Card10,Ncf1,Plod2,Mga,,Rrm2,,ENSMUSG00000086583,,,,,,,,
Rps14,Hdac7,Gpx1,Tbxas1,Ubxn6,,Hid1,,,Wfdc2,Csf1r,Pgrmc1,Plekhb2,,Atp5b,,Ubb,,,,,,,,
Hid1,Hmgb3,Tex30,H2afx,Ampd3,,Rplp2,,,Gas6,Arhgef26,Ddx50,Gprc5b,,Hnrnpa3,,Rpl35,,,,,,,,
Oxr1,Clec4d,Klf1,Plxnc1,Cebpd,,Pdlim2,,,Mboat2,Sfrp2,Spire1,Hivep3,,Tmsb10,,Ppia,,,,,,,,
Rpl17,Igfbp4,Cpa3,Pbx1,D630039A03Rik,,Ubl7,,,Upp1,Milr1,Enox2,Mylk,,Nap1l1,,Smarcc1,,,,,,,,
Tspan4,Cdk4,2010107E04Rik,Asb13,Glud1,,Mettl7a1,,,Cystm1,Itga9,Mmp16,Fcgrt,,Atp5a1,,Madd,,,,,,,,
Neo1,Gmfg,Muc4,Bex1,Csgalnact1,,Ecscr,,,Gbp8,Csf2rb2,Zc3h12b,Tspan3,,Rps27l,,ENSMUSG00000085334,,,,,,,,
Nisch,Cks1b,Rnaseh2b,Nr1d2,Mgam,,Tmub1,,,Ikzf4,ENSMUSG00000076609,Esam,Stat1,,Csrp1,,Cab39,,,,,,,,
Rpl13,Lat2,Fam49b,Ccnd1,Tmem263,,4732463B04Rik,,,Hoxb5,BC035044,Gkap1,Ddx58,,Arhgef39,,Ptma,,,,,,,,
Gm9493,Xylt1,Eif5a,Smagp,Clu,,Tbc1d10c,,,Prex2,Sell,Myct1,B4galt4,,Cuta,,Rpl17,,,,,,,,
Limd2,Mcm5,Rasa4,Lhx3,Tox,,Ramp1,,,Gm13822,Bmp8a,Psmf1,Pura,,Ndufa11,,Uba52,,,,,,,,
Rps9,Prss57,Eef1b2,Rpl22l1,Srgn,,Atp6v1g2,,,Csf2rb2,Cldn5,Pla2g16,Ids,,Thoc6,,Pan3,,,,,,,,
Gimap1,Tkt,F630028O10Rik,Rpl17,Msl1,,Rnf125,,,Gm16565,Tulp1,Fam171b,Kazald1,,Atpif1,,Rpl24,,,,,,,,
Itga6,Hnf4a,Slpi,Cd38,Smim8,,Gm3345,,,H2-Eb1,Ppargc1a,5730469M10Rik,Trim30a,,Mrpl57,,ND5,,,,,,,,
Angpt1,H2afj,Hint1,Col4a2,Gdf3,,Rpl18a,,,Jhdm1d,Mzb1,Tsga14,Gbp5,,Rfwd3,,Fau,,,,,,,,
Jam2,Syk,Mad2l1,H2-Eb1,Lpl,,Tinagl1,,,Gm10651,Atp1a3,2010011I20Rik,Ly6e,,Gpx1,,Ddx5,,,,,,,,
Obsl1,Mgat5,Tipin,2700081O15Rik,Pfdn2,,Rpl28,,,Vsig2,Anxa2,Slc41a1,Sult1a1,,Metrn,,Eml4,,,,,,,,
Hes1,Gm10053,H3f3a,Fam63a,Tgfbr1,,Ppcdc,,,Gm5148,Xdh,Cyp4v3,mt-Atp6,,Lig1,,Rpl3,,,,,,,,
Basp1,Etfb,Mars2,Chst2,N4bp2l2,,Mrpl23,,,Pou2f2,Slpi,Parp12,Cish,,Fen1,,Adgrg1,,,,,,,,
Tspan3,Samd14,Sh2d5,Itm2b,Trappc4,,Trim47,,,Lurap1,Ablim1,Golph3l,Gda,,Ccna2,,ENSMUSG00000082536,,,,,,,,
Rgs18,Siglecf,Pabpc4,Ly6e,Smarca2,,9030025P20Rik,,,Hivep3,Jag1,1110032A03Rik,Rtp4,,Cux1,,Son,,,,,,,,
